#     BLOCK:   ACTUAL_H:    H_AVE:      ERROR:
         494      -0.437   -0.444669 0.000372051
         495   -0.441997   -0.444664 0.000371339
         496   -0.442543    -0.44466 0.000370615
         497   -0.442975   -0.444656 0.000369885
         498   -0.453298   -0.444673 0.000369549
         499   -0.449705   -0.444684 0.000368946
         500   -0.444835   -0.444684 0.000368208
         501   -0.456905   -0.444708  0.00036828
         502    -0.44488   -0.444709 0.000367547
         503    -0.44265   -0.444705 0.000366839
         504    -0.42913   -0.444674  0.00036741
         505   -0.444185   -0.444673 0.000366684
         506   -0.448365    -0.44468 0.000366032
         507   -0.441618   -0.444674  0.00036536
         508   -0.434881   -0.444655 0.000365149
         509   -0.432749   -0.444631  0.00036518
         510   -0.442981   -0.444628 0.000364478
         511    -0.44126   -0.444621 0.000363824
         512   -0.445466   -0.444623 0.000363117
         513   -0.445991   -0.444626 0.000362419
         514   -0.445463   -0.444627 0.000361718
         515   -0.450289   -0.444638 0.000361183
         516   -0.439065   -0.444628 0.000360644
         517   -0.442876   -0.444624 0.000359962
         518   -0.438241   -0.444612 0.000359478
         519   -0.442301   -0.444607 0.000358813
         520   -0.444822   -0.444608 0.000358123
         521   -0.447415   -0.444613 0.000357477
         522   -0.443307   -0.444611 0.000356801
         523   -0.434877   -0.444592 0.000356603
         524   -0.439235   -0.444582 0.000356069
         525   -0.442982   -0.444579 0.000355404
         526   -0.454318   -0.444597  0.00035521
         527   -0.439372   -0.444587 0.000354675
         528   -0.441941   -0.444582 0.000354039
         529   -0.438866   -0.444572 0.000353534
         530   -0.434549   -0.444553 0.000353372
         531   -0.443829   -0.444551  0.00035271
         532   -0.450643   -0.444563 0.000352232
         533   -0.434324   -0.444544 0.000352095
         534   -0.452161   -0.444558 0.000351725
         535   -0.447317   -0.444563 0.000351105
         536   -0.455585   -0.444584 0.000351051
         537   -0.439502   -0.444574 0.000350525
         538   -0.439277   -0.444564 0.000350012
         539   -0.427964   -0.444533 0.000350715
         540    -0.44316   -0.444531 0.000350075
         541   -0.445602   -0.444533 0.000349433
         542   -0.449783   -0.444543 0.000348923
         543   -0.442924    -0.44454 0.000348293
         544   -0.435067   -0.444522 0.000348088
         545   -0.429544   -0.444495 0.000348532
         546   -0.431834   -0.444471 0.000348664
         547   -0.437011   -0.444458 0.000348294
         548   -0.443438   -0.444456 0.000347663
         549    -0.43358   -0.444436 0.000347594
         550   -0.444059   -0.444435 0.000346962
         551   -0.432528   -0.444414 0.000347005
         552   -0.452068   -0.444428 0.000346653
         553   -0.444514   -0.444428 0.000346026
         554   -0.430193   -0.444402 0.000346355
         555   -0.438667   -0.444392 0.000345885
         556   -0.454794   -0.444411 0.000345768
         557   -0.447274   -0.444416 0.000345186
         558   -0.439515   -0.444407 0.000344679
         559    -0.43966   -0.444398 0.000344167
         560   -0.448592   -0.444406 0.000343634
         561   -0.448992   -0.444414 0.000343118
         562   -0.441145   -0.444408 0.000342557
         563   -0.441445   -0.444403 0.000341989
         564    -0.43814   -0.444392 0.000341563
         565   -0.445682   -0.444394 0.000340966
         566   -0.442598   -0.444391 0.000340378
         567   -0.439272   -0.444382 0.000339898
         568    -0.45587   -0.444402 0.000339901
         569   -0.429956   -0.444377  0.00034025
         570   -0.454908   -0.444395 0.000340154
         571   -0.448068   -0.444402 0.000339619
         572   -0.450348   -0.444412 0.000339185
         573    -0.43839   -0.444402 0.000338756
         574    -0.45208   -0.444415 0.000338429
         575   -0.434539   -0.444398 0.000338276
         576   -0.452955   -0.444413 0.000338015
         577   -0.437292     -0.4444 0.000337655
         578   -0.452766   -0.444415 0.000337381
         579   -0.448909   -0.444423 0.000336887
