#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         493    0.303668    0.324468 0.000637185
         494    0.321557    0.324462 0.000635923
         495    0.320589    0.324454 0.000634686
         496    0.317229    0.324439 0.000633573
         497    0.307435    0.324405 0.000633222
         498    0.320517    0.324397 0.000631998
         499    0.328208    0.324405 0.000630778
         500    0.329918    0.324416 0.000629613
         501    0.326136    0.324419 0.000628365
         502    0.335719    0.324442 0.000627517
         503    0.328328     0.32445 0.000626317
         504    0.338332    0.324477 0.000625679
         505    0.332774    0.324494 0.000624656
         506    0.312857    0.324471 0.000623845
         507    0.310536    0.324443  0.00062322
         508    0.329919    0.324454 0.000622086
         509    0.344881    0.324494 0.000622157
         510    0.316903    0.324479 0.000621115
         511    0.328811    0.324488 0.000619957
         512    0.324685    0.324488 0.000618747
         513    0.320707    0.324481 0.000617584
         514    0.318786     0.32447 0.000616482
         515    0.316575    0.324454 0.000615476
         516    0.306944     0.32442 0.000615218
         517    0.350243     0.32447 0.000616052
         518    0.328975    0.324479 0.000614924
         519      0.3296    0.324489 0.000613819
         520    0.309275     0.32446 0.000613335
         521    0.342586    0.324494 0.000613144
         522    0.309591    0.324466 0.000612633
         523    0.314779    0.324447 0.000611742
         524    0.337565    0.324472 0.000611087
         525    0.307012    0.324439 0.000610827
         526    0.349557    0.324487 0.000611529
         527    0.333969    0.324505 0.000610634
         528    0.335119    0.324525 0.000609808
         529    0.340558    0.324555 0.000609408
         530     0.31542    0.324538 0.000608502
         531    0.343583    0.324574 0.000608412
         532    0.335066    0.324594 0.000607588
         533    0.331288    0.324606 0.000606578
         534    0.324737    0.324606 0.000605442
         535      0.3147    0.324588 0.000604593
         536    0.307045    0.324555 0.000604351
         537    0.322151    0.324551 0.000603242
         538    0.324298     0.32455 0.000602121
         539     0.36119    0.324618 0.000604829
         540    0.311597    0.324594 0.000604189
         541    0.338259    0.324619   0.0006036
         542    0.322078    0.324615 0.000602504
         543    0.342811    0.324648 0.000602326
         544    0.305448    0.324613 0.000602252
         545    0.331753    0.324626  0.00060129
         546    0.317432    0.324613 0.000600333
