#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
          16       -0.85    0.398813  0.00782385
          16       -0.75    0.431125  0.00896516
          16       -0.65    0.417063   0.0072621
          16       -0.55    0.394562  0.00617642
          16       -0.45    0.351312  0.00637973
          16       -0.35    0.340625    0.005475
          16       -0.25    0.307375  0.00509892
          16       -0.15    0.300812  0.00390934
          16       -0.05    0.283938  0.00439324
          16        0.05    0.287687  0.00494321
          16        0.15     0.27825  0.00545901
          16        0.25       0.299  0.00604152
          16        0.35    0.343438  0.00652278
          16        0.45    0.362375  0.00581611
          16        0.55       0.393  0.00663855
          16        0.65    0.424313  0.00884269
          16        0.75    0.416063  0.00691662
          16        0.85    0.400938  0.00922059
          16        0.95       0.389  0.00821917
          16        1.05    0.342625  0.00698261
          16        1.15    0.284687  0.00718327
          16        1.25     0.23825  0.00683082
          16        1.35    0.176188  0.00622948
          16        1.45    0.126125  0.00375819
          16        1.55     0.08375  0.00358654
          16        1.65   0.0580625  0.00306883
          16        1.75   0.0350625  0.00320579
          16        1.85     0.01825  0.00197741
          16        1.95     0.01175  0.00123901
          17       -1.95   0.0167647  0.00199225
          17       -1.85   0.0187059  0.00169012
          17       -1.75   0.0362941  0.00241501
          17       -1.65   0.0634118  0.00284801
          17       -1.55       0.089  0.00289851
          17       -1.45    0.131412  0.00371014
          17       -1.35    0.180471  0.00507257
          17       -1.25    0.232294  0.00672894
          17       -1.15    0.288882   0.0051003
          17       -1.05    0.345353  0.00645342
          17       -0.95    0.384471  0.00515981
          17       -0.85    0.398706  0.00736435
          17       -0.75    0.429235  0.00863466
          17       -0.65    0.416647  0.00684679
          17       -0.55    0.395765  0.00592895
          17       -0.45    0.351529  0.00600814
          17       -0.35    0.342294  0.00540137
          17       -0.25    0.309824  0.00535471
          17       -0.15    0.302176  0.00391009
          17       -0.05    0.282882  0.00425964
          17        0.05       0.286  0.00493206
          17        0.15    0.277176  0.00524238
          17        0.25    0.299059  0.00568643
          17        0.35    0.342176  0.00625979
          17        0.45    0.361647  0.00551935
          17        0.55    0.393882  0.00630641
          17        0.65    0.422059  0.00860493
          17        0.75    0.414882  0.00660967
          17        0.85    0.402412  0.00879527
          17        0.95    0.390412    0.007856
          17        1.05    0.344118  0.00672952
          17        1.15    0.284588  0.00676141
          17        1.25    0.238118  0.00643029
          17        1.35    0.178588   0.0063087
          17        1.45    0.124882  0.00373692
          17        1.55   0.0836471  0.00337705
          17        1.65   0.0580588  0.00288831
          17        1.75   0.0340588  0.00317044
          17        1.85   0.0190588  0.00201975
          17        1.95   0.0114118  0.00121142
          18       -1.95      0.0165  0.00189907
          18       -1.85   0.0189444  0.00161297
          18       -1.75   0.0367222  0.00231848
          18       -1.65   0.0622222  0.00292768
          18       -1.55   0.0894444  0.00277135
          18       -1.45    0.132444   0.0036449
          18       -1.35        0.18  0.00481254
          18       -1.25    0.232944  0.00638646
          18       -1.15    0.287778  0.00493511
          18       -1.05    0.343444  0.00637085
          18       -0.95    0.383167  0.00503522
          18       -0.85       0.397  0.00715007
          18       -0.75    0.430167  0.00820503
          18       -0.65    0.416111  0.00648735
          18       -0.55    0.394833  0.00567225
          18       -0.45    0.351722  0.00567744
