T:   H:   H_ERR:   MU:   SIGMA:
   0.0404272    -0.37334  0.00392926    0.855109    0.701504
   0.0398208   -0.405833   0.0029192    0.866141    0.659709
   0.0392235   -0.396025  0.00391542    0.795424    0.706186
   0.0386352   -0.426265  0.00281259    0.817624    0.666307
   0.0380556   -0.441801  0.00219064    0.790114    0.622087
   0.0374848   -0.437157  0.00122919    0.799484    0.581911
   0.0369225   -0.433962   0.0016323    0.856027    0.606329
   0.0363687   -0.438945  0.00202902    0.820762    0.596104
   0.0358232   -0.438945  0.00202902    0.820762    0.596104
   0.0352858    -0.43846  0.00181459    0.818239    0.594601
   0.0347565    -0.43846  0.00181459    0.818239    0.594601
   0.0342352   -0.431183  0.00135508    0.766674    0.580242
   0.0337217   -0.431183  0.00135508    0.766674    0.580242
   0.0332158   -0.425407  0.00210396     0.77444    0.572563
   0.0327176   -0.441142  0.00154589    0.820069    0.623482
   0.0322268   -0.441142  0.00154589    0.820069    0.623482
   0.0317434   -0.441142  0.00154589    0.820069    0.623482
   0.0312673   -0.430264  0.00211306    0.759627    0.578483
   0.0307983   -0.437126  0.00193028    0.765527    0.638471
   0.0303363   -0.445106  0.00143982    0.815922     0.61599
   0.0298812   -0.445106  0.00143982    0.815922     0.61599
    0.029433   -0.442185  0.00169959     0.80073     0.60899
   0.0289915   -0.438666  0.00231267    0.799423    0.594066
   0.0285567   -0.413736  0.00245568     0.85585    0.568522
   0.0281283   -0.407961  0.00278488    0.888225    0.591093
   0.0277064   -0.407961  0.00278488    0.888225    0.591093
   0.0272908   -0.419304  0.00347635    0.876555    0.595764
   0.0268814   -0.419304  0.00347635    0.876555    0.595764
   0.0264782   -0.419304  0.00347635    0.876555    0.595764
    0.026081   -0.428901  0.00315971    0.831853    0.652493
   0.0256898   -0.428901  0.00315971    0.831853    0.652493
   0.0253045   -0.413012  0.00306683    0.883802    0.620322
   0.0249249   -0.413012  0.00306683    0.883802    0.620322
    0.024551   -0.413012  0.00306683    0.883802    0.620322
   0.0241828   -0.437221  0.00166862    0.816825    0.649297
     0.02382   -0.444946  0.00152471    0.803067    0.610716
   0.0234627   -0.423681  0.00231446    0.870866    0.639139
   0.0231108   -0.433467  0.00228821    0.808498    0.582801
   0.0227641   -0.433467  0.00228821    0.808498    0.582801
   0.0224227   -0.435965  0.00162454    0.756932     0.63927
   0.0220863   -0.437214  0.00152812    0.764176    0.619117
    0.021755   -0.442655  0.00140033    0.826629    0.618317
   0.0214287   -0.425598   0.0028306    0.841861    0.665262
   0.0211073   -0.425598   0.0028306    0.841861    0.665262
   0.0207907   -0.425598   0.0028306    0.841861    0.665262
   0.0204788   -0.425598   0.0028306    0.841861    0.665262
   0.0201716   -0.440123  0.00181478    0.828893     0.60295
    0.019869   -0.441891  0.00150012    0.770455    0.638618
    0.019571   -0.441891  0.00150012    0.770455    0.638618
   0.0192774   -0.441891  0.00150012    0.770455    0.638618
   0.0189883   -0.441891  0.00150012    0.770455    0.638618
   0.0187035   -0.432628  0.00157749    0.757333    0.598059
   0.0184229   -0.421195  0.00173876    0.715511    0.618435
   0.0181466   -0.429304  0.00158004    0.743496    0.640269
   0.0178744   -0.429304  0.00158004    0.743496    0.640269
   0.0176062   -0.429304  0.00158004    0.743496    0.640269
   0.0173422   -0.447631  0.00179247    0.802614    0.633123
    0.017082   -0.447631  0.00179247    0.802614    0.633123
   0.0168258   -0.433226  0.00169454    0.745559    0.635101
   0.0165734   -0.434898  0.00167414    0.753892    0.600583
   0.0163248   -0.430407  0.00163647    0.730976    0.615664
   0.0160799   -0.442083  0.00149816    0.787329    0.623827
   0.0158387   -0.443469  0.00176024    0.800957     0.62662
   0.0156011   -0.443469  0.00176024    0.800957     0.62662
   0.0153671   -0.436881   0.0016001    0.827315    0.588755
   0.0151366    -0.41344  0.00274917     0.88637    0.624276
   0.0149096    -0.41344  0.00274917     0.88637    0.624276
   0.0146859   -0.399374  0.00263872    0.884402    0.573471
   0.0144656   -0.399374  0.00263872    0.884402    0.573471
   0.0142487   -0.399374  0.00263872    0.884402    0.573471
   0.0140349   -0.406495  0.00353841    0.837981    0.560353
   0.0138244   -0.399716   0.0024932    0.872336    0.569241
    0.013617   -0.404978  0.00216201    0.895683    0.601605
   0.0134128   -0.404978  0.00216201    0.895683    0.601605
   0.0132116   -0.404978  0.00216201    0.895683    0.601605
   0.0130134   -0.427756  0.00203779    0.856773    0.589297
   0.0128182   -0.427756  0.00203779    0.856773    0.589297
   0.0126259   -0.433617  0.00276988    0.845981    0.628188
   0.0124366   -0.438785   0.0025141    0.806386    0.639438
