#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
          11        1.25   0.0226727 6.29715e-07
          11        1.35   0.0176273   8.338e-07
          11        1.45   0.0115091 5.21388e-07
          11        1.55  0.00833636 3.62095e-07
          11        1.65      0.0057 4.26887e-07
          11        1.75  0.00327273 1.50909e-07
          11        1.85  0.00201818 2.40718e-07
          11        1.95  0.00108182 1.78041e-07
          12       -1.95  0.00139167 1.40035e-07
          12       -1.85  0.00216667 2.38473e-07
          12       -1.75  0.00340833 3.07997e-07
          12       -1.65    0.005575 2.12398e-07
          12       -1.55  0.00821667 3.30175e-07
          12       -1.45      0.0124 5.00607e-07
          12       -1.35      0.0182 2.06355e-07
          12       -1.25   0.0227333 8.98884e-07
          12       -1.15    0.028525 8.28215e-07
          12       -1.05     0.03465 1.08452e-06
          12       -0.95     0.03895 1.23731e-06
          12       -0.85   0.0402833 8.61895e-07
          12       -0.75    0.042575 1.39892e-06
          12       -0.65   0.0413667 8.30421e-07
          12       -0.55   0.0397833 7.24614e-07
          12       -0.45   0.0360333 9.51328e-07
          12       -0.35    0.033225 1.20632e-06
          12       -0.25   0.0312167 9.49822e-07
          12       -0.15    0.029575 8.87142e-07
          12       -0.05   0.0289167 7.81708e-07
          12        0.05   0.0270833  8.6827e-07
          12        0.15     0.03045 7.80695e-07
          12        0.25   0.0310667 7.94243e-07
          12        0.35   0.0341917 7.54777e-07
          12        0.45   0.0375167  9.8638e-07
          12        0.55   0.0389667 1.03511e-06
          12        0.65   0.0397667 1.09959e-06
          12        0.75    0.044275 8.29226e-07
          12        0.85   0.0423417 1.02522e-06
          12        0.95     0.03785 9.46706e-07
          12        1.05   0.0350333 7.64324e-07
          12        1.15   0.0273833 7.58134e-07
          12        1.25   0.0225667 5.86205e-07
          12        1.35   0.0178083 7.83904e-07
          12        1.45   0.0119167 6.17691e-07
          12        1.55  0.00863333 4.37558e-07
          12        1.65  0.00576667  3.9655e-07
          12        1.75    0.003325 1.47165e-07
          12        1.85       0.002  2.2137e-07
          12        1.95      0.0012 1.98773e-07
          13       -1.95  0.00136154 1.32375e-07
          13       -1.85  0.00222308 2.26555e-07
          13       -1.75  0.00331538 2.97831e-07
          13       -1.65  0.00559231 1.96609e-07
          13       -1.55  0.00814615 3.12003e-07
          13       -1.45   0.0120769 5.56678e-07
          13       -1.35   0.0179077 3.39678e-07
          13       -1.25   0.0224692 8.67168e-07
          13       -1.15   0.0287154 7.85565e-07
          13       -1.05   0.0343077 1.05315e-06
          13       -0.95   0.0387231 1.16193e-06
          13       -0.85   0.0399923 8.42864e-07
          13       -0.75   0.0430385 1.36521e-06
          13       -0.65   0.0415308 7.82045e-07
          13       -0.55   0.0392385 8.49537e-07
          13       -0.45   0.0362077 8.93349e-07
          13       -0.35   0.0331923 1.11308e-06
          13       -0.25   0.0312615  8.7712e-07
          13       -0.15   0.0297462 8.34662e-07
          13       -0.05       0.029 7.25446e-07
          13        0.05   0.0275923 9.38792e-07
          13        0.15   0.0301077 7.91861e-07
          13        0.25   0.0307692 7.86512e-07
          13        0.35   0.0346077 8.03105e-07
          13        0.45   0.0374923 9.10077e-07
          13        0.55   0.0392769 1.00033e-06
          13        0.65   0.0395077 1.04438e-06
          13        0.75   0.0442308  7.6601e-07
          13        0.85   0.0424308  9.4948e-07
          13        0.95   0.0379615 8.79757e-07
          13        1.05   0.0351385 7.12189e-07
          13        1.15   0.0275154 7.10712e-07
          13        1.25   0.0221538 6.70979e-07
